timestep,demand_BBEL_FIN,demand_BEEL_FIN,BESOLPV_P,BBSOLPV_P,BBWIND_P,BEWIND_P,BBRORHYD_P
133,2152.545135210240,1867.184294862540,0.0447,0.0636,0.068,0.0649,0.45
134,2119.367591567150,1838.405066302280,0.0076,0.0118,0.067,0.0684,0.45
135,2092.269702518340,1814.899518368240,0,0,0.068,0.0683,0.45
136,1992.910776006060,1728.712509276780,0,0,0.0664,0.0684,0.45
137,1981.098875651450,1718.466501202970,0,0,0.0618,0.063,0.45
138,2202.224598466380,1910.277799408270,0,0,0.0573,0.0574,0.45
139,2189.023062775930,1898.826378619880,0,0,0.0508,0.0507,0.45
140,2050.580642443250,1778.737136931260,0,0,0.043,0.0434,0.45
141,1940.799450912200,1683.509532480560,0,0,0.037,0.0367,0.45
142,1864.543211858190,1617.362509768750,0,0,0.0299,0.0289,0.45
143,1739.823440466890,1509.176718636470,0,0,0.0256,0.0226,0.45
144,1675.379101767480,1453.275703998480,0,0,0.0257,0.0223,0.45
145,1641.333036039500,1423.743092491610,0,0,0.0281,0.025,0.45
146,1587.310962358870,1376.882673212860,0,0,0.0299,0.0253,0.45
147,1599.122862713470,1387.128681286670,0,0,0.029,0.0233,0.45
148,1631.431884271670,1415.154526900330,0,0,0.0302,0.0236,0.45
149,1708.209236576620,1481.753579380090,0,0,0.0387,0.029,0.45
150,1907.274498435160,1654.428950741660,0,0,0.0509,0.0404,0.45
151,2115.372389976630,1834.939504747900,0.0022,0.0039,0.0641,0.0574,0.45
152,2148.028820368770,1863.266703540200,0.0336,0.0471,0.0752,0.0713,0.45
153,2154.282179380030,1868.691060755740,0.0752,0.1016,0.081,0.0761,0.45
154,2190.760106945730,1900.333144513090,0.1092,0.1454,0.0868,0.0796,0.45
155,2216.989473909630,1923.085309500520,0.1142,0.1567,0.1025,0.0937,0.45
156,2193.713082034390,1902.894646531550,0.0991,0.143,0.1252,0.1254,0.45
157,2151.850317542310,1866.581588505240,0.0623,0.0932,0.1508,0.1596,0.45
158,2135.174693512290,1852.116635930460,0.0117,0.0202,0.1669,0.1636,0.45
159,2113.287936972860,1833.131385676040,0,0,0.2212,0.226,0.45
160,2168.873350406320,1881.347894258690,0,0,0.2526,0.29,0.45
161,2255.030741228160,1956.083482561770,0,0,0.2544,0.2731,0.45
162,2271.185252007240,1970.096405368590,0,0,0.2651,0.2506,0.45
163,2223.242832920900,1928.509666716070,0,0,0.2637,0.2434,0.45
164,2078.373349159980,1802.845391222580,0,0,0.2701,0.2459,0.45
165,1931.245707978320,1675.222320067910,0,0,0.2858,0.2747,0.45
166,1865.932847194020,1618.567922483320,0,0,0.3129,0.329,0.45
167,1718.110388344450,1490.342144971380,0,0,0.3326,0.3771,0.45
168,1659.919408656320,1439.865487548930,0,0,0.3138,0.3677,0.45
169,1625.525934094370,1410.031522863430,0,0,0.2702,0.287,0.45
170,1586.963553524910,1376.581320034230,0,0,0.2729,0.2024,0.45
171,1617.188122079350,1402.799046576030,0,0,0.3365,0.2259,0.45
172,1648.107508301710,1429.619479475120,0,0,0.4511,0.4621,0.45
173,1735.133421208450,1505.108450724810,0,0,0.5268,0.7533,0.45
174,1930.724594727390,1674.770290299960,0,0,0.573,0.8601,0.45
175,2123.189088740700,1841.719951267330,0.0025,0.0083,0.5993,0.8678,0.45
176,2215.773542990780,1922.030573375270,0.0467,0.0829,0.5888,0.8341,0.45
177,2255.030741228160,1956.083482561770,0.1647,0.1844,0.5584,0.7443,0.45
178,2219.768744581320,1925.496134929660,0.1852,0.2191,0.5229,0.6046,0.45
179,2227.238034511430,1931.975228270450,0.1142,0.1813,0.5872,0.7433,0.45
180,2211.257228149310,1918.112982052950,0.0527,0.1271,0.6724,0.8993,0.45
181,2126.663177080290,1844.733483053750,0.041,0.0804,0.7376,1.1107,0.45
182,2108.597917714410,1829.063117764380,0.0036,0.0164,0.7703,1.1801,0.45
183,2109.813848633270,1830.117853889630,0,0,0.7885,1.1744,0.45
184,2191.802333447610,1901.237204049020,0,0,0.7741,1.1084,0.45
185,2286.644945118430,1983.506621818140,0,0,0.7331,1.0057,0.45
186,2276.917497767570,1975.068732816180,0,0,0.6575,0.8637,0.45
187,2216.294656241720,1922.482603143240,0,0,0.5542,0.6937,0.45
188,2070.556650395900,1796.064944703150,0,0,0.4768,0.5194,0.45
189,1905.537454265360,1652.922184848450,0,0,0.3898,0.414,0.45
190,1831.018259381140,1588.281928029860,0,0,0.2876,0.2944,0.45
191,1732.701559370730,1502.998978474320,0,0,0.1939,0.1989,0.45
192,1601.033611300250,1388.786123769200,0,0,0.1269,0.1389,0.45
193,1551.875261295050,1346.144648991440,0,0,0.0773,0.0939,0.45
194,1528.077756168850,1325.501956254490,0,0,0.0492,0.0634,0.45
195,1535.894454932930,1332.282402773930,0,0,0.0326,0.0369,0.45
196,1549.443399457330,1344.035176740940,0,0,0.0286,0.0237,0.45
197,1483.435721005120,1286.778072799070,0,0,0.0349,0.0226,0.45
198,1435.493301918770,1245.191334146540,0,0,0.046,0.0241,0.45
199,1529.467391504690,1326.707368969060,0.0058,0.0145,0.0624,0.0286,0.45
200,1652.102709892240,1433.085041029490,0.0661,0.1038,0.0625,0.0346,0.45
201,1760.841674921410,1527.408585944280,0.1827,0.2242,0.0426,0.0341,0.45
202,1813.821522100160,1573.364945687100,0.2515,0.2965,0.0389,0.0309,0.45
203,1891.467396490010,1640.717381113470,0.2539,0.3107,0.0463,0.0371,0.45
204,1788.286972804170,1551.215487056950,0.222,0.2727,0.0527,0.0517,0.45
205,1735.480830042400,1505.409803903450,0.1452,0.1741,0.0849,0.0964,0.45
206,1712.551847001100,1485.520494113110,0.0339,0.0412,0.1672,0.1993,0.45
207,1674.857988516560,1452.823674230510,0,0,0.2436,0.2824,0.45
208,1756.846473330880,1523.943024389900,0,0,0.251,0.2829,0.45
209,1907.621907269110,1654.730303920300,0,0,0.2304,0.2591,0.45
210,1925.339757801020,1670.099316031010,0,0,0.2064,0.2371,0.45
211,1900.500026172950,1648.552563758150,0,0,0.1805,0.2087,0.45
212,1755.977951245990,1523.189641443300,0,0,0.1517,0.1684,0.45
213,1635.948199113140,1419.072118222670,0,0,0.13,0.1327,0.45
214,1137.416522381910,986.630306872165,0,0,0.1059,0.0976,0.45
215,879.812872001278,763.176924909516,0,0,0.0862,0.0699,0.45
216,805.467381534044,698.687344680243,0,0,0.0811,0.065,0.45
217,762.214981706142,661.168873939380,0,0,0.0808,0.0701,0.45
218,786.533600083276,682.263596444282,0,0,0.08,0.0659,0.45
219,808.246652205715,701.098170109374,0,0,0.09,0.0711,0.45
220,746.234175344026,647.306627721873,0,0,0.1035,0.0827,0.45
221,608.139163845306,527.518739211889,0,0,0.1165,0.0914,0.45
222,445.030716301536,386.033421839720,0,0,0.1355,0.1093,0.45
223,461.880044748549,400.649051003831,0.0009,0.0022,0.1562,0.1337,0.45
224,547.168913485495,474.631256360311,0.0133,0.0223,0.1589,0.1397,0.45
225,1084.089266369200,940.372593950700,0.0211,0.0364,0.1647,0.1506,0.45
226,1733.048968204700,1503.300331652970,0.0318,0.0477,0.1815,0.1719,0.45
227,1872.881023873210,1624.594986056150,0.0418,0.0442,0.2075,0.2129,0.45
228,1789.155494889080,1551.968870003560,0.0115,0.0197,0.233,0.2274,0.45
229,1668.604629505290,1447.399317014970,0.0052,0.0123,0.2494,0.244,0.45
230,1648.976030386600,1430.372862421730,0.0047,0.0114,0.2658,0.233,0.45
231,1614.582555824650,1400.538897736220,0,0,0.2928,0.3094,0.45
232,1676.421328269370,1454.179763534410,0,0,0.2721,0.2633,0.45
233,1853.426129171500,1607.719208052230,0,0,0.2524,0.2026,0.45
234,1875.833998961870,1627.156488074600,0,0,0.2308,0.208,0.45
235,1841.093115565950,1597.021170210460,0,0,0.1901,0.1443,0.45
236,1699.524015727640,1474.219749914060,0,0,0.1605,0.112,0.45
237,1605.549926141720,1392.703715091540,0,0,0.1653,0.1149,0.45
238,1639.422287452720,1422.085650009090,0,0,0.1649,0.1194,0.45
239,1528.425165002810,1325.803309433140,0,0,0.149,0.1276,0.45
240,1462.764895384550,1268.847558669900,0,0,0.1316,0.1236,0.45
241,1424.376219232080,1235.548032430020,0,0,0.1137,0.1356,0.45
242,1425.418445733960,1236.452091965940,0,0,0.1,0.11,0.45
243,1458.422284960070,1265.080643936880,0,0,0.0956,0.069,0.45
244,1540.758178608360,1336.501347274910,0,0,0.0894,0.048,0.45
245,1641.854149290440,1424.195122259580,0,0,0.0745,0.0357,0.45
246,1883.129584475000,1633.484904826080,0,0,0.0548,0.02,0.45
247,2108.597917714410,1829.063117764380,0.0017,0.0028,0.0369,0.008,0.45
248,2209.693888396500,1916.756892749050,0.0275,0.0349,0.0284,0.0064,0.45
249,2209.520183979520,1916.606216159730,0.0585,0.0702,0.0214,0.0143,0.45
250,2200.834963130550,1909.072386693700,0.0908,0.1085,0.0105,0.005,0.45
251,2214.383907654940,1920.825160660710,0.1346,0.1377,0.0053,0.0006,0.45
252,2175.126709417570,1886.772251474230,0.136,0.1313,0.0052,0.0054,0.45
253,2136.911737682090,1853.623401823670,0.0716,0.0698,0.0137,0.018,0.45
254,2106.513464710660,1827.254998692540,0.0095,0.01,0.0309,0.0309,0.45
255,2096.264904108870,1818.365079922610,0,0,0.0516,0.0359,0.45
256,2152.892544044190,1867.485648041170,0,0,0.0932,0.0909,0.45
257,2212.994272319110,1919.619747946150,0,0,0.1392,0.1793,0.45
258,2213.341681153070,1919.921101124790,0,0,0.1327,0.1853,0.45
259,2186.070087687290,1896.264876601440,0,0,0.1036,0.1877,0.45
260,2034.252427247180,1764.573537535110,0,0,0.0753,0.1257,0.45
261,1924.471235716120,1669.345933084410,0,0,0.0608,0.074,0.45
262,1846.651656909300,1601.842821068730,0,0,0.051,0.0533,0.45
263,1701.782173148380,1476.178545575230,0,0,0.0456,0.0444,0.45
264,1617.188122079350,1402.799046576030,0,0,0.0469,0.0326,0.45
265,1558.823437974230,1352.171712564260,0,0,0.0556,0.0156,0.45
266,1537.457794685750,1333.638492077810,0,0,0.0702,0.0023,0.45
267,1584.357987270220,1374.321171194420,0,0,0.0768,0,0.45
268,1642.896375792330,1425.099181795500,0,0,0.1012,0,0.45
269,1727.316722444370,1498.328004205380,0,0,0.1011,0,0.45
270,1947.573923174390,1689.385919464060,0,0,0.0822,0,0.45
271,2141.949165774480,1857.993022913960,0.0011,0.0006,0.0808,0.0001,0.45
272,2206.740913307850,1914.195390730610,0.0168,0.0142,0.0829,0.0086,0.45
273,2190.586402528750,1900.182467923780,0.0206,0.027,0.0839,0.025,0.45
274,2172.347438745900,1884.361426045100,0.019,0.0354,0.0865,0.0451,0.45
275,2207.956844226700,1915.250126855840,0.023,0.0398,0.0988,0.0676,0.45
276,2197.360874790950,1906.058854907280,0.0192,0.0336,0.1236,0.1206,0.45
277,2173.215960830800,1885.114808991700,0.0111,0.0197,0.1711,0.2117,0.45
278,2166.441488568600,1879.238422008190,0.0023,0.0039,0.2251,0.2976,0.45
279,2129.442447751960,1847.144308482870,0,0,0.2438,0.3216,0.45
280,2150.634386623470,1865.526852380010,0,0,0.2506,0.3169,0.45
281,2250.514426386690,1952.165891239430,0,0,0.27,0.3151,0.45
282,2224.979877090700,1930.016432609280,0,0,0.2748,0.3151,0.45
283,2197.360874790950,1906.058854907280,0,0,0.2755,0.3017,0.45
284,2060.829203045050,1787.627055701190,0,0,0.2461,0.2497,0.45
285,1898.068164335240,1646.443091507650,0,0,0.2483,0.2496,0.45
286,1851.862789418690,1606.363118748350,0,0,0.2552,0.2651,0.45
287,1722.279294351960,1493.958383115080,0,0,0.255,0.2594,0.45
288,1621.878141337790,1406.867314487690,0,0,0.2429,0.2754,0.45
289,1560.039368893090,1353.226448689510,0,0,0.2274,0.2591,0.45
290,1529.814800338650,1327.008722147700,0,0,0.2165,0.2599,0.45
291,1566.987545572260,1359.253512262340,0,0,0.2062,0.2217,0.45
292,1628.478909183010,1412.593024881880,0,0,0.225,0.1934,0.45
293,1730.269697533010,1500.889506223830,0,0,0.2438,0.2143,0.45
294,1954.522099853580,1695.412983036900,0,0,0.2482,0.223,0.45
295,2173.389665247770,1885.265485581010,0.0006,0.0022,0.2153,0.2141,0.45
296,2209.172775145560,1916.304862981090,0.0133,0.0187,0.1729,0.1957,0.45
297,2063.434769299740,1789.887204541000,0.0284,0.0353,0.154,0.1986,0.45
298,2030.083521239680,1760.957299391420,0.0429,0.0465,0.1558,0.2084,0.45
299,2092.095998101360,1814.748841778920,0.0414,0.0431,0.1912,0.233,0.45
300,2070.209241561940,1795.763591524500,0.0258,0.0281,0.2431,0.2329,0.45
301,1995.690046677720,1731.123334705910,0.0093,0.0124,0.2757,0.245,0.45
302,1988.047052330620,1724.493564775790,0.0001,0.001,0.2785,0.2139,0.45
303,2096.264904108870,1818.365079922610,0,0,0.2633,0.1866,0.45
304,2271.185252007240,1970.096405368590,0,0,0.2315,0.2127,0.45
305,2330.244753780290,2021.326445737640,0,0,0.1936,0.157,0.45
306,2289.076806956140,1985.616094068630,0,0,0.1444,0.0989,0.45
307,2230.538418434040,1934.838083467540,0,0,0.088,0.0446,0.45
308,2076.288896156230,1801.037272150740,0,0,0.0572,0.0207,0.45
309,1917.175650202990,1663.017516332940,0,0,0.0524,0.0199,0.45
310,1852.210198252640,1606.664471926980,0,0,0.0601,0.0301,0.45
311,1718.978910429350,1491.095527917980,0,0,0.0759,0.0539,0.45
312,1632.474110773550,1416.058586436250,0,0,0.0952,0.0934,0.45
313,1575.499062004260,1366.636665139050,0,0,0.118,0.1144,0.45
314,1560.213073310070,1353.377125278840,0,0,0.1488,0.157,0.45
315,1613.887738156740,1399.936191378940,0,0,0.1809,0.2041,0.45
316,1637.337834448970,1420.277530937240,0,0,0.1825,0.2154,0.45
317,1726.795609193430,1497.875974437420,0,0,0.1871,0.238,0.45
318,1916.307128118090,1662.264133386330,0,0,0.1639,0.215,0.45
319,2121.104635736940,1839.911832195480,0.0067,0.0102,0.1418,0.1511,0.45
320,2170.784098993080,1883.005336741200,0.0511,0.0749,0.1069,0.1019,0.45
321,2142.643983442400,1858.595729271250,0.1644,0.1865,0.0845,0.0767,0.45
322,2125.968359412370,1844.130776696460,0.2631,0.2756,0.0794,0.0746,0.45
323,2122.146862238820,1840.815891731400,0.2768,0.3064,0.0749,0.0677,0.45
324,2084.800412588230,1808.420425027450,0.2394,0.2785,0.0685,0.0661,0.45
325,2092.443406935320,1815.050194957550,0.1582,0.1899,0.0653,0.0699,0.45
326,2108.250508880460,1828.761764585750,0.0452,0.0552,0.0994,0.1151,0.45
327,2078.547053576960,1802.996067811900,0,0,0.1366,0.1531,0.45
328,2090.358953931560,1813.242075885710,0,0,0.167,0.1774,0.45
329,2213.515385570050,1920.071777714110,0,0,0.1906,0.2049,0.45
330,2223.069128503930,1928.358990126760,0,0,0.2009,0.2394,0.45
331,2220.463562249240,1926.098841286940,0,0,0.19,0.2496,0.45
332,2090.532658348540,1813.392752475020,0,0,0.1664,0.2171,0.45
333,1932.461638897180,1676.277056193160,0,0,0.1406,0.1694,0.45
334,1872.012501788310,1623.841603109550,0,0,0.1192,0.1337,0.45
335,1755.283133578070,1522.586935086020,0,0,0.1032,0.1059,0.45
336,1648.976030386600,1430.372862421730,0,0,0.0895,0.0847,0.45
337,1603.639177554940,1391.046272609010,0,0,0.0772,0.0684,0.45
338,1585.400213772090,1375.225230730330,0,0,0.0636,0.051,0.45
339,1601.381020134210,1389.087476947850,0,0,0.0513,0.0341,0.45
340,1644.980828796080,1426.907300867360,0,0,0.04,0.0143,0.45
341,1746.424208312110,1514.902429030660,0,0,0.0299,0.0021,0.45
342,1937.499066989590,1680.646677283470,0,0,0.0273,0.0009,0.45
343,2151.676613125340,1866.430911915930,0.0009,0.002,0.0315,0.003,0.45
344,2200.661258713560,1908.921710104370,0.0162,0.0267,0.0329,0.0109,0.45
345,2208.999070728580,1916.154186391770,0.0422,0.0698,0.0237,0.0127,0.45
346,2212.646863485160,1919.318394767510,0.0745,0.1132,0.0208,0.0134,0.45
347,2229.148783098210,1933.632670752980,0.1024,0.1296,0.0199,0.016,0.45
348,2191.628629030620,1901.086527459690,0.0875,0.1026,0.0209,0.0201,0.45
349,2148.028820368770,1863.266703540200,0.0481,0.0604,0.0274,0.0337,0.45
350,2105.818647042750,1826.652292335260,0.012,0.0162,0.0548,0.0693,0.45
351,2078.547053576960,1802.996067811900,0,0,0.0988,0.1133,0.45
352,2109.640144216300,1829.967177300310,0,0,0.1129,0.1253,0.45
353,2199.097918960750,1907.565620800490,0,0,0.0959,0.102,0.45
354,2199.792736628670,1908.168327157770,0,0,0.069,0.0647,0.45
355,2156.019223549830,1870.197826648950,0,0,0.0511,0.0377,0.45
356,2006.459720530460,1740.465283243800,0,0,0.0438,0.0326,0.45
357,1877.744747548630,1628.813930557130,0,0,0.0382,0.0314,0.45
358,1822.333038532170,1580.748098563810,0,0,0.0329,0.0304,0.45
359,1699.176606893690,1473.918396735420,0,0,0.0264,0.0264,0.45
360,1583.489465185330,1373.567788247810,0,0,0.0227,0.0267,0.45
361,1523.387736910410,1321.433688342830,0,0,0.0217,0.0311,0.45
362,1505.322477544540,1305.763323053480,0,0,0.0262,0.0437,0.45
363,1482.219790086260,1285.723336673820,0,0,0.0323,0.0551,0.45
364,1482.740903337200,1286.175366441780,0,0,0.0321,0.053,0.45
